Protocol,Seed,nNodes,nFlows,MaxPaths,InitEnergy_J,PktInterval_s,PDR,Throughput_kbps,Delay_ms,Jitter_ms,TxPkts,RxPkts,CtrlBytes,NRL,EnergyConsumed_J,EnergyPerPkt_J,LiveNodes,SweepParam
QS2MAODV,20,20,19,3,50.000000,0.100000,0.312085,13.135074,213.956650,94.017905,37022,11554,2413026,38.675495,734.725621,0.063591,20,0.95
QS2MAODV,19,20,19,3,50.000000,0.100000,0.338015,14.226442,146.406077,95.443350,37022,12514,2814674,41.652224,732.442638,0.058530,20,0.95
QS2MAODV,21,20,19,3,50.000000,0.100000,0.282454,11.887958,105.215360,57.369902,37022,10457,3313164,58.673510,737.032072,0.070482,20,0.95
QS2MAODV,23,20,19,3,50.000000,0.100000,0.228486,9.616547,142.117767,88.864046,37022,8459,2728102,59.723853,733.212301,0.086678,20,0.95
QS2MAODV,22,20,19,3,50.000000,0.100000,0.167738,7.059789,413.901218,206.294228,37022,6210,3464094,103.300948,737.364315,0.118738,20,0.95
QS2MAODV,24,20,19,3,50.000000,0.100000,0.456512,19.213768,135.109290,74.744899,37022,16901,2539606,27.826602,732.783289,0.043357,20,0.95
QS2MAODV,26,20,19,3,50.000000,0.100000,0.359327,15.123411,103.222235,55.327998,37022,13303,1798742,25.039493,746.156792,0.056089,20,0.95
QS2MAODV,25,20,19,3,50.000000,0.100000,0.306412,12.896337,230.361474,108.606778,37022,11344,3467384,56.603328,736.212795,0.064899,20,0.95
QS2MAODV,27,20,19,3,50.000000,0.100000,0.325671,13.706905,168.774059,77.339505,37022,12057,3261816,50.098698,744.196292,0.061723,20,0.95
QS2MAODV,29,20,19,3,50.000000,0.100000,0.483091,20.332421,50.839480,26.840567,37022,17885,758720,7.855952,729.857270,0.040808,20,0.95
QS2MAODV,28,20,19,3,50.000000,0.100000,0.206877,8.707074,288.311128,121.690411,37022,7659,2702274,65.337656,745.078263,0.097281,20,0.95
QS2MAODV,1,20,19,3,50.000000,0.100000,0.230728,9.710905,256.662460,95.224440,37022,8542,2268190,49.172932,743.377568,0.087026,20,0.99
QS2MAODV,2,20,19,3,50.000000,0.100000,0.161174,7.160400,656.130295,293.344170,37022,5967,1533536,47.593120,743.947958,0.124677,20,0.99
QS2MAODV,30,20,19,3,50.000000,0.100000,0.357436,15.043832,213.824609,102.063657,37022,13233,2891838,40.468945,738.343239,0.055796,20,0.95
QS2MAODV,5,20,19,3,50.000000,0.100000,0.455567,19.173979,124.554640,43.510383,37022,16866,1296994,14.240725,725.275536,0.043002,20,0.99
QS2MAODV,4,20,19,3,50.000000,0.100000,0.319270,13.437474,339.890511,143.238791,37022,11820,2982558,46.728050,733.375334,0.062045,20,0.99
QS2MAODV,3,20,19,3,50.000000,0.100000,0.286235,12.047116,276.687983,131.360275,37022,10597,3040110,53.126671,735.647127,0.069420,20,0.99
